stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
ADELADA1,20.0,Adelaide at Ada NB - #20,,42.974289,-81.225234,,,,,,0
ADELADA2,21.0,Adelaide at Ada SB - #21,,42.97461,-81.225615,,,,,,0
ADELCEN1,22.0,Adelaide at Central  NB - #22,,42.994567,-81.234344,,,,,,0
ADELCEN2,23.0,Adelaide at Central  SB - #23,,42.99494,-81.234663,,,,,,0
ADELDUN1,27.0,Adelaide at Dundas NB - #27,,42.989214,-81.231686,,,,,,0
ADELDUN2,28.0,Adelaide at Dundas SB - #28,,42.988343,-81.231467,,,,,,0
ADELEDNA,29.0,Adelaide at Edna SB - #29,,42.971883,-81.224342,,,,,,0
ADELHAMI,36.0,Adelaide at Hamilton SB - #36,,42.982275,-81.228829,,,,,,0
ADELHIL1,37.0,Adelaide at Hill NB - #37,,42.979827,-81.227608,,,,,,0
ADELHIL2,38.0,Adelaide at Hill SB - #38,,42.980363,-81.227992,,,,,,0
ADELLEA1,48.0,Adelaide south of Leathorne St NB - #48,,42.960884,-81.216852,,,,,,0
ADELLEA2,49.0,Adelaide at Leathorne SB - #49,,42.961015,-81.217334,,,,,,0
ADELLEA3,50.0,Adelaide north of Leathorne 1 NB - #50,,42.962904,-81.220032,,,,,,0
ADELLEA5,52.0,Adelaide north of Leathorne 2 NB - #52,,42.963991,-81.220618,,,,,,0
ADELLISI,53.0,Adelaide at Little Simcoe NB - #53,,42.982516,-81.228761,,,,,,0
ADELLORN,54.0,Adelaide at Lorne NB - #54,,42.992328,-81.233229,,,,,,0
ADELMAUD,56.0,Adelaide at Maud NB - #56,,42.970708,-81.223681,,,,,,0
ADELMCMA,57.0,Adelaide at McMahen NB - #57,,42.997642,-81.23587,,,,,,0
ADELNEL1,58.0,Adelaide at Nelson NB - #58,,42.977567,-81.226683,,,,,,0
ADELNEL2,59.0,Adelaide at Nelson SB - #59,,42.977503,-81.226792,,,,,,0
ADELOSG1,60.0,Adelaide at SE Osgoode NB - #60,,42.93825,-81.209242,,,,,,0
ADELOSG2,61.0,Adelaide at NW Osgoode SB - #61,,42.941834,-81.213008,,,,,,0
ADELOSG3,62.0,Adelaide at NE Osgoode NB - #62,,42.942427,-81.213344,,,,,,0
ADELOSG4,63.0,Adelaide at SE Osgoode SB - #63,,42.937296,-81.20903,,,,,,0
ADELOSG5,64.0,Adelaide at SE Osgoode NS NB - #64,,42.937249,-81.208782,,,,,,0
ADELOSG6,65.0,Adelaide at SW Osgoode SB - #65,,42.939001,-81.2102,,,,,,0
ADELOSG7,66.0,Adelaide at Osgoode 3 NB - #66,,42.939237,-81.210169,,,,,,0
ADELPAMA,69.0,Adelaide at Pall Mall SB - #69,,42.996487,-81.235428,,,,,,0
ADELPIC1,70.0,Adelaide at Piccadilly NB - #70,,42.99887,-81.236488,,,,,,0
ADELPIC2,71.0,Adelaide at Piccadilly SB - #71,,42.999014,-81.236686,,,,,,0
ADELPRIN,72.0,Adelaide at Princess SB - #72,,42.992506,-81.233465,,,,,,0
ADELQUEE,73.0,Adelaide at Queens SB - #73,,42.990215,-81.232309,,,,,,0
ADELROSE,76.0,Adelaide at Rosedale SB - #76,,42.993791,-81.234088,,,,,,0
ADELSDAL,77.0,Adelaide at Southdale SB - #77,,42.943708,-81.214531,,,,,,0
ADELTERR,81.0,Adelaide at Terrace NB - #81,,42.972963,-81.224651,,,,,,0
ADELTHO1,82.0,Adelaide at Thompson NB - #82,,42.968564,-81.222737,,,,,,0
ADELTHO2,83.0,207 Adelaide - #83,,42.964134,-81.220869,,,,,,0
ADELTHO4,84.0,Adelaide at Thompson SB - #84,,42.967775,-81.222568,,,,,,0
ADELTHO6,85.0,155 Adelaide SB - #85,,42.965996,-81.221812,,,,,,0
ADELTHO8,86.0,247 Adelaide SB - #86,,42.962455,-81.219962,,,,,,0
ANDOCOM1,154.0,Andover at Commissioners NB - #154,,42.955725,-81.275336,,,,,,0
ANDOCOM2,155.0,Andover at Commissioners SB - #155,,42.955721,-81.275497,,,,,,0
ANDOELMG,156.0,Andover at Elmgrove Cr SB - #156,,42.951688,-81.275511,,,,,,0
ANDONOVE,158.0,Andover at Novello NB - #158,,42.952839,-81.275472,,,,,,0
ANDOVIG1,160.0,Andover at Village Green NB - #160,,42.953684,-81.275744,,,,,,0
ANDOVIG2,161.0,Andover at Village Green SB - #161,,42.95356,-81.275802,,,,,,0
ANDOVIS2,163.0,Andover at Viscount SB - #163,,42.948172,-81.275288,,,,,,0
ANDOVIS3,164.0,Andover north of Viscount  NB - #164,,42.948217,-81.275205,,,,,,0
ASHBMIL1,168.0,Ashbury at Millbank EB - #168,,42.937301,-81.202254,,,,,,0
ASHBMIL2,169.0,Ashbury at Millbank WB - #169,,42.937358,-81.202382,,,,,,0
ASHBSUR1,170.0,Ashbury at Surrey Cres NB - #170,,42.938413,-81.204312,,,,,,0
ASHBSUR2,171.0,Ashbury at Surrey Cres SB - #171,,42.938244,-81.2043,,,,,,0
BASEDUND,184.0,Base Line at Dundee Place EB - #184,,42.959601,-81.25735,,,,,,0
BASEFAI2,189.0,Base Line west of Fairview Ave WB - #189,,42.962147,-81.226993,,,,,,0
BASEFAI3,190.0,Base Line west of Fairview EB - #190,,42.962039,-81.226664,,,,,,0
BASEHIG1,192.0,Base Line at High EB - #192,,42.961362,-81.235476,,,,,,0
BASEMGR1,196.0,Base Line at McGregor EB - #196,,42.959013,-81.264059,,,,,,0
BASEWEL1,206.0,Base Line east of Wellington EB - #206,,42.961772,-81.230042,,,,,,0
BASEWEL3,208.0,Base Line west of Wellington EB - #208,,42.961636,-81.231553,,,,,,0
BASEWEL6,210.0,Base Line west of Wellington WB - #210,,42.961786,-81.231501,,,,,,0
BASEWES1,211.0,Base Line east of West St  EB - #211,,42.958703,-81.267666,,,,,,0
BASEWES2,212.0,30 Base Line WB - #212,,42.959042,-81.264016,,,,,,0
BASEWES3,213.0,Base Line west of West St  EB - #213,,42.958329,-81.271553,,,,,,0
BASEWES4,214.0,90 Base Line WB - #214,,42.958764,-81.267069,,,,,,0
BASEWHA2,216.0,Base Line at Wharncliffe WB - #216,,42.959398,-81.260128,,,,,,0
BEACBAS1,222.0,Beachwood at Base Line NB - #222,,42.957793,-81.275356,,,,,,0
BEACBAS2,223.0,Beachwood at Base Line SB - #223,,42.957706,-81.275411,,,,,,0
BEAVBLYT,224.0,Beaverbrook at Blythwood WB - #224,,42.989057,-81.298029,,,,,,0
BEAVHORI,225.0,Beaverbrook at Horizon WB - #225,,42.990733,-81.292312,,,,,,0
BEAVOXF1,226.0,Beaverbrook at Oxford NB - #226,,42.987086,-81.281034,,,,,,0
BEAVOXF2,227.0,Beaverbrook at Oxford SB - #227,,42.986911,-81.281009,,,,,,0
BEAVWOND,228.0,Beaverbrook at Wonderland WB - #228,,42.990017,-81.294785,,,,,,0
BELMHILL,234.0,Belmont at Hillsborough EB - #234,,42.947155,-81.261834,,,,,,0
BELMNODA,235.0,Belmont at Notre Dame EB - #235,,42.946298,-81.26779,,,,,,0
